DLR_KEY,DLR_TOP_LVL,DLR_TOP_LVL_DESC,DLR_GRP_ID,DLR_GRP_NM,DLR_ID,BRANCH_ESTB_DT,BRANCH_CLOSED_DT,SELLG_AGRMT_RQRD_FLG,SELLG_AGRMT_12B1_FLG,PAYOUT_FREQ_CD,PAYOUT_FREQ_DESC,STMT_FREQ_CD,STMT_FREQ_DESC,RECV_12B1_TAPE_FLG,AUTO_DIVD_CHK_FLG,WIRE_INCL_ACCRL_FLG,SIPC_INSD_FLG,DLR_FDIC_SELL_FLG,SEC_ID,MBR_SHIP_TYPE_CD,MBR_SHIP_TYPE,INVAL_REP_HNDLG_CD,INVAL_REP_HNDLG_DESC,INVMT_SLIP_ADDR_CD,INVMT_SLIP_ADDR,TRSTE_DFLT_DLR_ID,GRP_SALES_CHNL_ID,GRP_FINCL_INST_ID,DIVD_CONFIRM_SPRSN_FLG,DAILY_CONFIRM_SPRSN_FLG,ONLN_INVAL_REP_HNDLG_FLG,DLR_REP_ST_LIC_VLDN_FLG,DLR_INVAL_REP_ST_LIC_ACTN_FLG,NASD_REGSTN_VLDN_LIC_FLG,INVAL_REP_NASD_REGSTR_FLG,DLR_NM,ADDR_LINE_1,ADDR_LINE_2,ADDR_LINE_3,ADDR_LINE_4,CITY_NM,ST,POSTL_ZIP_CD,CRTY,ROW_STRT_DTTM,ROW_STOP_DTTM,CURR_ROW_FLG,ETL_LOAD_CYC_KEY,SRC_SYS_ID,SPR_ONBS_FLG,ONBS_FLG,INTRL_CNTL_DOC_DT,LTST_CNTL_AUDT_RECPT_DT,INACTV_DT,ACTV_FLG
404,All,All Dealers,10,ASCENSUS TRUST COMPANY,6531,2009-09-02 00:00:00,2014-04-24 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,6531.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,FRONTIER TRUST COMPANY,805 SW BROADWAY STE 2300,,,,PORTLAND,OR,97205.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,Y,2012-08-17 00:00:00,,,Y
405,All,All Dealers,42,NEWPORT RETIREMENT PLAN SERVICES,209024,2005-04-04 00:00:00,2013-09-06 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,0.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,NEWPORT RETIREMENT PL SERV INC,DEFAULT,,,,CLEARWATER,FL,33760.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
406,All,All Dealers,,HAGERTY STEWART & ASSOC INC,209056,2003-04-28 00:00:00,2018-10-17 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,727.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,HAGERTY STEWART & ASSOC INC,2600 MICHELSON DR STE 1500,,,,IRVINE,CA,92612.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
407,All,All Dealers,00,MACK INVESTMENT SECURITIES INC,209088,2007-02-27 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,727.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,MACK INVESTMENT SECURITIES INC,1939 WAUKEGAN ROAD,,,,GLENVIEW,IL,60025.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2012-08-15 00:00:00,,,Y
408,All,All Dealers,00,DWS INVESTMENTS DISTRIBUTORS,209120,2007-04-11 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,0.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,DWS INVESTMENTS DISTRIBUTORS,60 WALL ST FL 33RD,,,,NEW YORK,NY,10005.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,Y,2011-09-27 00:00:00,,,Y
409,All,All Dealers,,DREYFUS INVESTMENT SERVICES INC,721,2002-05-25 00:00:00,2013-09-26 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,721.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,DREYFUS INVESTMENT SERVICES INC,UNION TRUST BLDG,501 GRANT ST,,,PITTSBURGH,PA,15219.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
410,All,All Dealers,,JP MORGAN INVEST LLC,785,2002-05-25 00:00:00,2013-09-25 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,785.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,JP MORGAN INVEST LLC,1 BEACON ST,,,,BOSTON,MA,2108.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
411,All,All Dealers,,FLEET INVESTMENT SERVICES,913,2002-05-25 00:00:00,2018-10-17 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,913.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,FLEET INVESTMENT SERVICES,159 EAST MAIN ST,,,,ROCHESTER,NY,14604.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
412,All,All Dealers,,INVESTMENT MANAGER SERVICES,500416,2003-04-04 00:00:00,2013-09-26 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,416.0,1,Trustee,D,Default,Z,No investment slip is included,5471.0,,5471.0,Y,Y,G,N,Z,N,Z,INVESTMENT MANAGER SERVICES,PO BOX 3865,,,,ENGLEWOOD,CO,80155.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
413,All,All Dealers,,COMPUTER CLEARING SERVICES,265,2002-10-08 00:00:00,2013-09-26 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,265.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,COMPUTER CLEARING SERVICES,801 N BRAND BLVD STE 1020,,,,GLENDALE,CA,91203.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
414,All,All Dealers,00,ADVANTAGE TRADING GROUP,297,2002-05-25 00:00:00,2013-09-25 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,297.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,ADVANTAGE TRADING GROUP,1385 WEST STATE RD 434,,,,LONGWOOD,FL,32750.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,U,U,2012-07-16 00:00:00,,,Y
415,All,All Dealers,00,DAVIDSON (DA) & CO INC,361,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,361.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,DAVIDSON (DA) & CO INC,#8 3RD ST N,,,,GREAT FALLS,MT,59401.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2012-07-19 00:00:00,,,Y
416,All,All Dealers,14,JP MORGAN,409,2006-09-27 00:00:00,2013-09-26 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,409.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,JP MORGAN CHASE BANK,DEFAULT,,,,BROOKLYN,NY,11245.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
417,All,All Dealers,,RBS SECURITIES INC,425,2002-05-25 00:00:00,2018-10-17 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,425.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,RBS SECURITIES INC,350 PARK AVE,,,,NEW YORK,NY,10022.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
418,All,All Dealers,,BIDWELL & CO,441,2002-05-25 00:00:00,2013-09-25 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,441.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,BIDWELL & CO,330 SW 6TH AVE,,,,PORTLAND,OR,97204.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
419,All,All Dealers,39,MASSACHUSETTS MUTUAL LIFE,473,2006-10-30 00:00:00,2013-09-25 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,473.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,GPC SECURITIES INC,400 COLONY SQUARE,1201 PEACHTREE ST NE,,,ATLANTA,GA,30361.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,U,U,2011-09-27 00:00:00,,,Y
420,All,All Dealers,92,DST MARKET SERVICES,626,2005-11-17 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,626.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,DST MARKET SERVICES LLC,210 W 10TH ST,,,,KANSAS CITY,MO,64105.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,U,U,2014-03-12 00:00:00,,,Y
421,All,All Dealers,38,BMO HARRIS BANK,500992,2006-01-13 00:00:00,2019-06-04 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,992.0,1,Trustee,R,Reject,Z,No investment slip is included,5471.0,,5471.0,Y,Y,B,N,Z,N,Z,BMO HARRIS BANK NA,11270 W PARK PL STE 400,,,,MILWAUKEE,WI,53224.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,Y,2013-08-19 00:00:00,,,Y
422,All,All Dealers,39,MASSACHUSETTS MUTUAL LIFE,4501,2003-06-24 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,4501.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,HARTFORD LIFE INSURANCE COMPANY,PO BOX 2999,ATTN FINANCE A3E-1,,,HARTFORD,CT,6104.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,Y,N,2012-07-20 00:00:00,,,Y
423,All,All Dealers,00,VISION FINANCIAL MARKETS LLC,595,2008-04-07 00:00:00,2015-02-12 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,595.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,VISION FINANCIAL MARKETS LLC,4 HIGH RIDGE PARK,SUITE 100,,,STAMFORD,CT,6905.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2011-09-27 00:00:00,,,Y
424,All,All Dealers,,ROBERTSON STEVENS INC,755,2002-05-25 00:00:00,2013-09-26 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,755.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,ROBERTSON STEVENS INC,555 CALIFORNIA ST STE 2600,,,,SAN FRANCISCO,CA,94104.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
425,All,All Dealers,28,FNB OMAHA,2254,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,2254.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,FIRST NATIONAL BANK OF OMAHA,1620 DODGE ST 6TH FLOOR,STOP CODE 1060,,,OMAHA,NE,68102.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2011-09-15 00:00:00,,,Y
426,All,All Dealers,14,JP MORGAN,2255,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,2255.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,JP MORGAN CHASE BANK,1900 POLARIS PKWY 4TH FL,,,,COLUMBUS,OH,43240.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,Y,2011-09-15 00:00:00,,,Y
427,All,All Dealers,08,"WELLS FARGO CLEARING SERVICES, LLC",141,2005-05-03 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,141.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,"WELLS FARGO CLEARING SERVICES, LLC",1 N JEFFERSON AVE,MC: H0004-095,,,SAINT LOUIS,MO,63103.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,Y,N,2012-03-29 00:00:00,2015-01-23 00:00:00,,Y
428,All,All Dealers,00,UBS FINANCIAL SERVICES INC,221,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,221.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,N,G,N,Z,N,Z,UBS FINANCIAL SERVICES INC,1000 HARBOR BLVD,,,,WEEHAWKEN,NJ,7086.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,Y,N,2011-09-15 00:00:00,2014-04-02 00:00:00,,Y
429,All,All Dealers,00,BARCLAYS CAPITAL INC LE,229,2008-09-25 00:00:00,2017-01-03 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,229.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,BARCLAYS CAPITAL INC LE,200 PARK AVENUE,,,,NEW YORK,NY,10166.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2011-09-26 00:00:00,,,Y
430,All,All Dealers,,SOUTHWEST CLEARING CORP,266,2002-05-25 00:00:00,2013-09-26 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,279.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,SOUTHWEST CLEARING CORP,1201 ELM ST STE 3500,,,,DALLAS,TX,75270.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
431,All,All Dealers,94,ICMA,282,2004-10-11 00:00:00,2019-10-07 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,282.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,ICMA-RC SERVICES LLC,777 NORTH CAPITOL ST NE,#600,,,WASHINGTON,DC,20002.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,Y,2011-09-27 00:00:00,,,Y
432,All,All Dealers,,HG WELLINGTON & CO INC,314,2006-04-24 00:00:00,2013-09-25 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,314.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,HG WELLINGTON & CO INC,14 WALL STREET,,,,NEW YORK,NY,10005.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
433,All,All Dealers,00,SORRENTO PACIFIC FINANCIAL LLC,346,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,346.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,SORRENTO PACIFIC FINANCIAL LLC,5225 77TH CENTER DR,,,,CHARLOTTE,NC,28217.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2012-07-31 00:00:00,,,Y
434,All,All Dealers,03,BNY MELLON,474,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,474.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,BNY MELLON DISTRIBUTORS INC,211 SOUTH GULPH RD,,,,KING OF PRUSSIA,PA,19406.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,Y,2012-07-17 00:00:00,,,Y
435,All,All Dealers,02,AMERIPRISE FINANCIAL,756,2005-01-13 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,756.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,AMERICAN ENTERPRISE INVMT SERV INC,70100 AMERIPRISE FINANCIAL CTR,,,,MINNEAPOLIS,MN,55474.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2012-11-16 00:00:00,,,Y
436,All,All Dealers,70,MANUFACTURERS & TRADERS TRUST COMPANY/WILMINGTON TRUST,2128,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,2128.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,T. TOWE PRICE TRUST COMPANY,110 SOUTH PACA ST,,,,BALTIMORE,MD,21201.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2014-08-06 00:00:00,,,Y
437,All,All Dealers,,FISERV INVESTMENT SUPPORT SERVICES,2258,2002-05-25 00:00:00,2013-09-25 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,2258.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,FISERV INVESTMENT SUPPORT SERVICES,717 17TH ST STE 2600,,,,DENVER,CO,80202.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
438,All,All Dealers,,UNION PLANTERS TRUST & INVESTMENT,2642,2002-05-25 00:00:00,2015-02-12 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,2642.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,UNION PLANTERS TRUST & INVESTMENT,7650 MAGNA DR,,,,BELLEVILLE,IL,62223.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
439,All,All Dealers,,ALERUS FINANCIAL,502144,2002-05-25 00:00:00,2018-10-17 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,2144.0,1,Trustee,D,Default,Z,No investment slip is included,5471.0,,5471.0,Y,Y,G,N,Z,N,Z,ALERUS FINANCIAL,STE 375,,,,GOLDEN VALLEY,MN,55427.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
440,All,All Dealers,40,MET LIFE SECURITIES,597,2003-01-06 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,597.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,METLIFE SECURITIES INC,2 MONTGOMERY ST,,,,JERSEY CITY,NJ,7302.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2013-08-22 00:00:00,,,Y
441,All,All Dealers,51,RAYMOND JAMES,725,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,725.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,RAYMOND JAMES & ASSOC INC,880 CARILLON PKWY,,,,ST PETERSBURG,FL,33716.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2011-08-19 00:00:00,,,Y
442,All,All Dealers,34,INVESTORS BANK AND TRUST,2132,2002-05-25 00:00:00,2017-07-19 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,2132.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,INVESTORS BANK & TRUST INST COMPANY,200 CLARENDON ST,,,,BOSTON,MA,2116.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
443,All,All Dealers,09,WELLS FARGO BANK,2027,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,2027.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,WELLS FARGO BANK NA,PO BOX 560067 MAC 1116-055,,,,CHARLOTTE,NC,28256.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,Y,2012-11-16 00:00:00,2013-01-23 00:00:00,,Y
