"DealerName","DealerNumber","EstablishedDate","InactiveDate","TaxID","AlphaCode","DealerCRD","MainTelephone","MainFax","StreetAddress","City","State","ZipCode","Platforms","TradingContact","DividendsContact","InvoicesContact","GroupContact","ContractIncludesAllFundsValue","FeePaymentMatrix","AdditionalPaymentInformation","WireInstructions","CheckAddress","OperationsQuestionnaire","RefresherDetails","TradingMethodValue","AccountTypes","SignatureGuaranteeWaiver","c_22c2FormOnFileValue","AdditionalContacts","HistoricalInformation","RedemptionFeeExceptions","Contracts","ClearingCorrespondents","Notes","IDCValue","Site","AdditionalInformation","BillingChannels","LastIntermediaryDueDiligenceReview","ADC22c2Feed","ACHPaymentInstructions","FirmAddress","DealerGroupId","TradesSuperOmnibusValue","TradesOmnibusValue","MarketTimingInformation","DateOfReceiptOfMostRecentControlAuditReport","CreatedById","ModifiedById","Modified","Created","PrimaryDealer","ParticipatesInCBRS","PayNoPayDealerValue","Authorized3rdParty","ContractIncludesRetirementClass","ContractNotes","BillingMethodValue","Id"
"First Global (1st Global)","209048","2008-10-01 00:00:00",,"75-2429960","FD","30349","214-265-1201","214-378-8464","12750 Merit Drive Suite 1200","Dallas","TX","75251",,"<div class=""ExternalClassC03CAC2D40C844BD9ACBA6FDE1655404""><div><div>Shelly Crumpton</div>
<div>Phone&#58;&#160;214- 265-1201</div>
Email&#58;<a href=""mailto&#58;scrumpton@1stglobal.com""><font color=""#0072bc"">scrumpton@1stglobal.com</font></a>​</div></div>","<div class=""ExternalClassA128119CBE414C9B834007E94FCC5F56""><div>&#160;</div>
&#160;</div>","<div class=""ExternalClass6958A65370E94B50B6E8B97265346F8A""><div>Mary Jones</div>
<div>Email&#58;mjones@1stglobal.com</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4793965&objAction=browse&viewType=1, First Global Fee Payment Matrix",,,"12750 MERIT DR STE 1200
DALLAS, TX 75251-1218 ","http://harborware/livelink/llisapi.dll?func=ll&objId=4793960&objAction=browse&viewType=1, Operations Questionnaire",,"NSCC","Omnibus","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/209048/default.aspx, Site",,,,"False",,"12750 MERIT DRIVE
SUITE 1200
DALLAS, TX  75251",75,"No","Yes",,,41,107,"2016-03-03 15:03:37","2011-09-26 12:49:58",,,"$",,,,,25
"First National Bank of Omaha","2254","2001-06-18 00:00:00",,"47-6057002","H2",,"402-602-3408","402-602-3206","1620 Dodge St Stop 1060","Omaha","NE","68197",,"<div class=""ExternalClass165D11BB620B435EA0E2FD50BD6E44B5""><div>Chris Burns</div>
<div>Phone&#58; 402-602-3371</div>
<div>Email&#58; <a href=""mailto&#58;cburns@fnni.com"">cburns@fnni.com</a>​</div></div>","<div class=""ExternalClass3EF0659161CB436091B35E241E2021E3""><div>Merinda Hartnett</div>
<div>Phone&#58;402-602-3302</div>
<div>Email&#58;mhartnett@fnni.com​</div></div>","<div class=""ExternalClassA5266CC580E34D15BE49051650810FFE""><div>Tammi Tate</div>
<div>Phone&#58;402-602-3337</div>
<div>Email&#58; ttate@fnni.com​</div></div>",,"No",,,"<div class=""ExternalClass6E3AD88073B74C14A503843A80DCE409""><html>
  <div class=""ExternalClassAE2229A3D28040EA89FB9656026E8300"">
    <div>ABA 104000016</div>
<div>DDA 11090200</div>
<div>First National Bank of Omaha</div>
<div>FFC Mutual Fund Ops​</div></div>
</html></div>","OMAHA
1620 DODGE ST 6TH FLOOR
STOP CODE 1060
OMAHA, NE 68102-1593 ​","http://harborware/livelink/llisapi.dll?func=ll&objId=4762179&objAction=browse&viewType=1, Contact Update","Dividend - Daily, Financial Activity - Daily, Position - 1st and 3rd Friday, December month end","NSCC","Broken Out","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/first_national_bank_of_omaha/default.aspx, Site","<div class=""ExternalClass891DC44021FC453AB8A45643973E1223""><html>
  <p>​<span>Other Dealer Profiles for First National Bank of Omaha include</span>&#58;</p>
<div>502254 - Custodian ID used for NSCC Trust trading/settlement only.</div><span id=""ms-rterangepaste-end""></span></html></div>",,,"False",,,26,"No","No",,,41,107,"2016-03-04 11:06:27","2011-09-15 12:32:34","True",,"$",,,,,26
"Folio Investments Inc.","0728","2008-03-10 00:00:00",,"54-1969685","WS","48015","703-245-5769","703-245-4800","8180 Greensboro Dr 8th FL","McLean","VA","22102",,"<div class=""ExternalClass0EEDE2BD73C249D1AC9923B8D86C007A""><div>Ronald Wong</div>
<div>Phone&#58; 703-245-4833</div>
<div>Email&#58;wongr@foliofn.com​</div></div>",,,,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794437&objAction=browse&viewType=1, Fee Payment Matrix",,,"FOLIOFN INVESTMENTS INC
8000 TOWERS CRESCENT DRIVE
SUITE 1500
VIENNA, VA 22182-6216 ​   ","http://harborware/livelink/llisapi.dll?func=ll&objId=4794432&objAction=browse&viewType=1, Operations Questionnaire","Dividend- Daily, Financial- Daily, Account Position- Daily",,"Broken Out","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/foliofn_investments/default.aspx, Site",,,,"False",,"8180 GREENSBORO DR
8TH FLOOR
MCLEAN, VA  22102",75,"No","Yes",,,41,307,"2018-03-01 16:57:40","2011-09-27 07:29:45",,"True","$",,,,,27
"Ascensus Trust Company","2563","2009-01-28 00:00:00",,"45-0404698","3R",,"215-648-8000","215-648-4888","P.O. Box 10758","Fargo","ND","58106",,"<div class=""ExternalClass568903DF57FD4B5984917D30A68ADE18""><div>Martin McGowan</div>
<div>Phone&#58; 215-648-4855</div>
<div>Email&#58; martin.mcgowan@ascensus.com​</div></div>","<div class=""ExternalClassC45FB7A1985449C79A60AC476223A20D""><div>Derek Landi</div>
<div>Phone&#58; 215 648 6783</div>
<div>Email&#58; <a href=""mailto&#58;Derek.Landi@ascensus.com"">Derek.Landi@ascensus.com</a>&#160;</div></div>","<div class=""ExternalClass739F74FD7A4D4AEFBBDAFEC9023AEE63""><div>Derek Landi</div>
<div>Phone&#58; 215 648 6783</div>
<div>Email&#58; <a href=""mailto&#58;Derek.Landi@ascensus.com"">Derek.Landi@ascensus.com</a> </div>
<div>&#160;</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4763392&objAction=browse&viewType=3, Frontier Trust Fee Payment Matrix","Sub TA fees are paid via invoice. Accounts qualifying for fees should have the TPA 102563 listed.","<div class=""ExternalClass7616C44F080848A29C03DCE1BA0EF931""><html>
  <div class=""ExternalClass682F65896E8B4A9995E23A5C6CF68DB8"">
    <div>(Sub TA Payments)</div>
<div>ABA 121000248</div>
<div>DDA 2000178335</div>
<div>Wells Fargo Bank</div>
<div>FFC&#58; Sub TA Plan #999100​</div></div>
</html></div>","FARGO
1126 Westrac Dr S
FARGO, ND 58103-2342","http://harborware/livelink/llisapi.dll?func=ll&objId=4763387&objAction=browse&viewType=3, Operations Questionnaire","Dividend - Daily, Financial Activity - Daily, Position - 1st and 3rd Friday, December month end","NSCC","Omnibus","YES","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/frontier_trust/default.aspx, Site","<div class=""ExternalClassF0F2036346CF46258F9C176CEDA80493""><html>
  <p>​<span>Other Dealer Profiles for Frontier Trust include</span>&#58;</p>
<div>102563 - Used to pay Sub TA fees on certain accounts.</div>
<div>502563 - Custodian ID used for NSCC Trust trading/settlement only.</div><div>&#160;</div><div style=""text-decoration&#58;underline;"">24 month disputes/recalculation&#58;</div><p><em style=""font-size&#58;9pt;"">&quot;All fees paid or caused to be paid by HFD to you pursuant to this Fee Schedule shall be considered final and no additional fees of any amount shall be owed by HFD or any of its affiliates unless disputed by (Frontier) within twenty-four (24) months of receipt thereof.&#160; In the event that (Frontier) determine it is necessary to recalculate fees for a prior monthly period already invoiced and/or you believe that additional fees are owed (a &quot;Fee Recalculation&quot;),&#160;Frontier will notify HFD promptly.&quot;</em></p><p><span id=""ms-rterangepaste-start""></span><em>4/13/16&#58; Name change from Frontier Trust Company to Ascensus Trust Company</em><span id=""ms-rterangepaste-end""></span></p><span id=""ms-rterangepaste-end""></span><span id=""ms-rterangepaste-end""></span></html></div>",,,"False",,,10,"No","Yes",,,41,307,"2018-02-23 12:28:31","2011-09-15 12:07:54","True",,"$",,"True",,,28
"GE Financial Trust Company","5970","2000-06-29 00:00:00",,"86-0770473","4K",,"602-285-3511","602-277-1932","3200 N Central Ave 7th Floor","Phoenix","AZ","85012",,"<div class=""ExternalClassBB9E79A377444A569F9204CEA968F609""><div>Shane Mercier</div>
<div>Phone&#58;602-285-3584</div>
<div>Email&#58; shane.mercier@genworth.com​</div></div>","<div class=""ExternalClassC05182518BE344DD8CAF237C6643585C""><div>Ryan Stedman</div>
<div>Phone&#58;&#160;602-285-3546</div>
<div>Email&#58;ryan.stedman@genworth.com&#160;</div></div>","<div class=""ExternalClass30ED9D25D51346F1BBCFC6AEF80E446B""><div>Ron A. Link </div>
<div>Phone&#58; 602-285-3529</div>
<div>Email&#58; <a href=""mailto&#58;ron.link@genworth.com"">ron.link@genworth.com</a></div>
<div>​</div></div>",,"No","http://harborware/livelink/llisapi.dll?func=ll&objId=4794397&objAction=browse&viewType=3, GE Financial Trust Company Fee Payment Matrix",,"<div class=""ExternalClass75418723BF854ED2B075E01C68D6972B""><html>
  <div class=""ExternalClassCC7E32008164459A8D61DCC46513899C"">
    <table style=""padding-bottom&#58;100px;margin&#58;8px;padding-left&#58;100px;padding-right&#58;100px;padding-top&#58;100px;"">
      <tbody>
        <tr>
          <td style=""padding-right&#58;16px;""></td>
<td></td></tr>
<tr><td valign=""top"" style=""padding-right&#58;16px;height&#58;55px;""></td>
<td valign=""top""></td></tr>
<tr><td style=""padding-right&#58;16px;""></td>
<td></td></tr>
<tr><td style=""padding-right&#58;16px;""></td>
<td></td></tr>
<tr><td style=""padding-right&#58;16px;""></td>
<td></td></tr>
<tr style=""height&#58;40px;""><td valign=""top"" style=""padding-right&#58;16px;""></td>
<td valign=""top"">&#160;<br></br></td></tr></tbody>
    </table>
<div>​</div></div>
</html></div>","GENWORTH FINANCIAL TR CO
3200 N CENTRAL AVE
7TH FLOOR
PHOENIX, AZ 85012-2425 ​   ","http://harborware/livelink/llisapi.dll?func=ll&objId=4794392&objAction=browse&viewType=3, Operations Questionnaire","Dividend - Daily, Financial Activity - Daily, Position - Daily","NSCC","Omnibus","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/ge_financial_trust/default.aspx, Site","<div class=""ExternalClassE2206A0722CE4A25A347E4D5C7E43865""><html>
  <div class=""ExternalClass2EF8BBA463DA4FC5A514FC350DCEEA8F"">
<p><span style=""color&#58;#1f497d;""><font face=""Calibri""><span style=""color&#58;#595959;font-size&#58;10pt;"">Formerly Genworth Financial was&#160;GE Financial Trust Company, but in 2004 General Electric did an IPO to a new company called Genworth for their financial services business.&#160;&#160;They changed&#160;their name from GE Financial Trust Company to Genworth Financial Trust Company.&#160;&#160;Their NSCC and Federal tax ID numbers did not change.</span> </font></span></p>
<p><span style=""color&#58;#1f497d;""></span>&#160;</p>
<p>​<span>Other Dealer Profiles for GE Financial Trust Company include</span>&#58;</p>
<div>505970 - Custodian ID used for NSCC Trust trading/settlement only.</div><span id=""ms-rterangepaste-end""></span>
<p>&#160;</p></div>
</html></div>",,,"False","JP Morgan Chase Bank
Routing: 021000021
Account: 07902322
FFC: Attn Ron Link
",,27,"Yes","No",,,41,107,"2016-03-04 11:09:10","2011-09-27 07:34:06","True","True","$",,,,,29
"GoldK Investment Services Inc","2619","2003-11-18 00:00:00","2014-12-31 00:00:00","13-3216996","OM","15514","617 896 3547","781 207 8043","175 Federal St 6th Floor","Boston","MA","02110-2210",,"<div class=""ExternalClass073DD83EEFD44EC6A83808AB62B7D33D""><div>Patricia Bowker </div>
<div>Phone&#58; 615 515 4402</div>
<div>Email&#58; <a href=""mailto&#58;pbowker@trpcweb.com"">pbowker@trpcweb.com</a></div></div>","<div class=""ExternalClass8F3C9E6A63D44807B0D932F90C9F5BA8""><div>Leonid Berline </div>
<div>Phone&#58; 617 896 3547</div>
<div>Email&#58; <a href=""mailto&#58;lberline@trpcweb.com"">lberline@trpcweb.com</a></div>
<div>​</div></div>","<div class=""ExternalClassA5DFBF249C634DA48AE00870F36508F1""><div>Cindy Mangrum </div>
<div>Phone&#58; 615 515 4437</div>
<div>Email&#58; <a href=""mailto&#58;cmangrum@trpcweb.com"">cmangrum@trpcweb.com</a></div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794086&objAction=browse&viewType=3, Gold K Investment Services Inc Fee Payment Matrix",,"<div class=""ExternalClass1A72FBD78ADD4648B60D1A6FF7D68252""><html>
  <div class=""ExternalClassC694579F0A0949EB9A054D820844EEBA"">
    <div>​</div>
  </div>
</html></div>","BOSTON 175 FEDERAL STBOSTON, MA 21102","http://harborware/livelink/llisapi.dll?func=ll&objId=4794081&objAction=browse&viewType=3, Gold K Investment Services Inc","Weekly on Friday","NSCC","Omnibus","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/goldk_investment_services/default.aspx, Site","<div class=""ExternalClassDEF2FD7E31064722A32B2B08D23F725F""><html>
  <p>​GoldK withdrew its FINRA registration as of 12/31/2014</p>
</html></div>","<div class=""ExternalClassF2FA8A165A9144A99D44EAD1F69D5921""><div>
<br>&#160; 
<br></div></div>","2013-09-09 00:00:00","False",,"175 FEDERAL STREET
6TH FLOOR
BOSTON, MA  02110",84,"No","Yes",,,41,90,"2015-05-08 09:59:26","2011-09-27 07:35:12",,,"$",,,,,30
"GPC Securities Inc","0473","2006-02-08 00:00:00","2011-11-30 00:00:00","58-1517899","T9/Q9",,"877-843-5330","877-803-3735","600 Peachtree St N.E. 2nd Floor Mail Code GA1-006-02-54","Atlanta","GA","30308","GPC Securities converted to Hartford Securities in August 2011.","<div class=""ExternalClass07E0F521CA0749D6811741A1DDF85220""><div>Adam Longcrier</div>
<div>Phone&#58; 404-607-2830</div>
<div>Email&#58; <a href=""mailto&#58;Adam.longcrier@baml.com"">Adam.longcrier@baml.com</a>​</div></div>",,,,"No","http://harborware/livelink/llisapi.dll?func=ll&objId=4793997&objAction=browse&viewType=1, Fee Payment Matrix","No payments are remitted.​","<div class=""ExternalClass23D6CB86C6054BF8BD801D06C15946CA""><html>
  <div class=""ExternalClassC19AE7A0361248F69A3FEFD5B069A0BF"">
    <div>​</div>
  </div>
</html></div>","400 COLONY SQUARE1201 PEACHTREE ST NEATLANTA, GA 30361-3503 ","http://harborware/livelink/llisapi.dll?func=ll&objId=4793992&objAction=browse&viewType=1, GPC Securities Contact Information","Daily","NSCC","Broken Out","No","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/gpc_securities/default.aspx, Site",,"<div class=""ExternalClassBBFFCABCA9B9409B87892BA1878AE452""><div>
<br>&#160; 
<br></div></div>",,"False",,,37,,,,,41,90,"2015-05-08 09:59:21","2011-09-27 07:36:02",,,"$",,,,,31
"Great West Financial / Empower Retirement","0257","2004-06-17 00:00:00",,"84-1455663 and Multiple Tax ID's","S4","13109","(866) 503-3550 Opt 1","303-801-6116 ","8515 E Orchard Road ","Greenwood Village","CO","80111","Standard 12b1 and Sub TA fees
Electronic Prospectus Fee (per account) - Quarterly","<div class=""ExternalClassCEDFB2F1E11148A0A6B2F60A1E851AEF""><div>Randy Young</div>
<div>Phone&#58; 303-737-5374</div>
<div>Email&#58; Trade_desk@gwl.com​</div></div>","<div class=""ExternalClassB42031CA989B4255901A068273EFF696""><div>​</div></div>","<div class=""ExternalClass64F1491CBFE44182999183F30C3815F0""><div>Revenue Team</div>
<div>Phone&#58; 303-737-3083</div>
<div>Email&#58; revenue@gwl.com​</div></div>","Trade_desk@gwl.com","Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4763036&objAction=browse&viewType=1, Fee Payment Folder","12b-1 Fees: MTF/NSCC
Service and Per Account Fees: Invoice/Wire","<div class=""ExternalClassDCE702A3F1D544C69B59ECE9428FDBF3""><html>
  <div class=""ExternalClass52A2F6C96B254A409BB6A5EFA7D1992A"">
    <div>US Bank N.A</div>
<div>ABA Routing&#58; 102000021</div>
<div>Account #&#58; 120400019374​</div></div>
</html></div>","8515 E ORCHARD RD
GREENWOOD VILLAGE, CO 80111-5002​","http://harborware/livelink/llisapi.dll?func=ll&objId=4763031&objAction=browse&viewType=1, Contact Information Folder","Dividend- Daily, Financial- Daily, Account Position- 2nd & 4th Fridays, Dec Month End","NSCC","Omnibus","YES","Yes",,,,,,,"Yes","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/GW_FS/default.aspx, Site","<div class=""ExternalClass8313D0FB87BD43EAA21C1B1B45288049""><html>
  <div class=""ExternalClass93C2CE69C3B84253BAC9A65F0B4498BA"">
<p>GWFS receives Sub TA fees for accounts marked with TPA 100257.</p>


<p>GWFS currently sends&#160;four separate spreadsheet attachments with their invoices&#58;&#160; 1) $2 Per Account Electronic Prospectus Fees; 2) 5 bp Recordkeeping Fees on Institutional Class strategic markets and fixed income funds; 3) 10 bp Recordkeeping Fees on Institutional Class domestic equity and international and global funds; and 4) 10 bp Sub/TA Fees on Investor Class funds.</p>
<p>MetLife Plan accounts are not eligible for $2 Per Account Electronic Prospectus Fee (account numbers 7411000202 and&#160;7412001410 - others may be established over time).</p><p>No fees are paid for the Fisher &amp; Company, Inc. plan or for the following Institutional Class shares in Variable Annuity Account 5&#58; Harbor Bond Fund Institutional Class, Harbor Capital Appreciation Fund Institutional Class, and Harbor Large Cap Value Institutional Class.&#160;</p>
<p><span>Other Dealer Profiles for GWFS Equities include</span>&#58;</p>
<div>100257 - Used to pay Sub TA fees on certain accounts.</div>
<div>500257 - Custodian ID used for NSCC Trust trading/settlement only.</div><div>&#160;</div><div>Effective 11/17/2015, GWFS also has an agreement with Harbor for self-directed brokerage business for individual retirement arrangements and defined contribution plans clearing through Pershing. </div><div>&#160;</div><div>Effective 1/1/2019, GWFS also receives an annual fee of $1,000/CUSIP. This fee includes CUSIPs in the Institutional, Administrative, Investor, and Retirement Share Classes.</div><span id=""ms-rterangepaste-end""></span></div>
</html></div>",,"2014-12-04 00:00:00","False",,"8525 E ORCHARD ROAD
GREENWOOD VILLAGE, CO  80111",29,"No","Yes",,,41,142,"2019-04-03 08:57:28","2011-09-15 11:56:18","True",,"$",,"True",,,32
"GWN Securities Inc","209154","2010-05-04 00:00:00",,"65-0939556",,"128929","561-472-2700","561-472-2777","11440 N. Jog Road","Palm Beach Gardens","FL","33418",,"<div class=""ExternalClassCC7F4AB4D209463A8611819F9A965778""><div>Gari Sanfilippo</div>
<div>Phone&#58; 561-472-2712</div>
<div>Email&#58; <a href=""mailto&#58;Gsanfilippo@gwnsecurities.com"">Gsanfilippo@gwnsecurities.com</a>​</div></div>",,"<div class=""ExternalClass4DF11A00FF9D475CB1484B3FB1086730""><div>Carl Neitzel</div>
<div>Phone&#58; 561-472-2703</div>
<div>Email&#58; Cneitzel​@gwnsecurities.com</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794128&objAction=browse&viewType=1, Fee Payment Folder",,"<div class=""ExternalClass09B14689582F48919F7035313F9447F2""><html>
  <div class=""ExternalClass3455A32CFFCF437AB778D3A98B0740A5"">
    <div>BB&amp;T Northern Florida</div>
<div>ABA 263191387</div>
<div>GWN Securities </div>
<div>DDA 1100000872936</div>
<div>&#160;</div>
<table cellpadding=""0"" cellspacing=""0""><tbody><tr><td style=""padding-left&#58;8px;"" valign=""top""></td>
<td style=""padding-left&#58;8px;"" valign=""top""></td></tr></tbody></table></div>
</html></div>","11440 N. Jog Road
Palm Beach Gardens, FL  33418-3764","http://harborware/livelink/llisapi.dll?func=ll&objId=4794123&objAction=browse&viewType=1, GWN Contract Information",,"NSCC",,"NO","Yes",,,,,,,"Yes","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/gwn_securities/default.aspx, Site","<div class=""ExternalClass91F1189E81334B419D58204108BA061D""><html>
  <p>​<span>Other Dealer Profiles for GWN Securities include</span>&#58;</p>
<div>109154 - Used to pay Sub TA fees on certain accounts.</div><span id=""ms-rterangepaste-end""></span></html></div>",,,"False",,"11440 NORTH JOG ROAD
PALM BEACH GARDENS, FL  33418-3764",82,"No","Yes",,,41,307,"2018-02-22 11:47:04","2011-09-27 07:38:29","True",,"$",,,,,33
"Hand Securities","209152","2010-04-29 00:00:00",,"76-0562425","4X","45198","713-460-1000","713 939 5888","820 Gessner Rd Suite 1250","Houston ","TX","77024-4289",,"<div class=""ExternalClassE56729FE9008465B8FE23F4F62F3D056""><div>Amy Mulligan </div>
<div>Phone&#58; 315 292 6961</div>
<div>Email&#58; <a href=""mailto&#58;amulligan@bpas.com"">amulligan@bpas.com</a>​</div></div>","<div class=""ExternalClassFED66409624A47BDB13B947B6D532A8B""><div><div>Amy Mulligan </div>
<div>Phone&#58; 315 292 6961</div>
<div>Email&#58; <a href=""mailto&#58;amulligan@bpas.com""><font color=""#0072bc"">amulligan@bpas.com</font></a>​</div></div></div>","<div class=""ExternalClassBD23EF2C93084369A7DC51699D652A12""><div>Laurie Swierat</div>
<div>Phone&#58; 315 292 6928</div>
<div>Email&#58; <a href=""mailto&#58;lswierat@bpas.com"">lswierat@bpas.com</a>​</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794242&objAction=browse&viewType=3, Hands Securities Fee Payment Matrix",,"<div class=""ExternalClassD75245764A28461CAC74EC4F480DD1B0""><html>
  <p>
    <span style=""text-decoration&#58;underline;"">
      <span style=""text-decoration&#58;underline;"">Community Bank, N.A.</span>
    </span>
  </p>
<p><span><span>ABA#&#58; 021307559&#160; </span></span></p>
<p>A/C&#58;&#160;0311130934</p>
<p>Name on Account&#58; Hand Securities</p>
</html></div>","HAND SECURITIES
820 GESSNER RD STE 1250
HOUSTON, TX 77024-4543 ​  ","http://harborware/livelink/llisapi.dll?func=ll&objId=4794237&objAction=browse&viewType=3, Hands Securities Operations Questionnaire",,"NSCC","Omnibus","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/hand_securities/default.aspx, Site",,,,"False",,"820 GESSNER
STE 1250
HOUSTON, TX  77024",12,"No","Yes",,,41,106,"2019-12-13 12:28:58","2011-09-27 07:53:09",,,"$",,"True",,,34
"Hartford Securities Distribution Co Inc","5920","2010-04-19 00:00:00",,"061408044","WZ","37819","860 624 0434","860 624 3991","1 Griffin Rd North","Windsor ","CT","06095",,"<div class=""ExternalClassCFF885066D1641529F6F822DE7B186C0""><div>Kevin Lawlor</div>
<div>Phone&#58; 860-624-0055</div>
<div>Email&#58; <a href=""mailto&#58;Keving.lawlor@hartfordlife.com"">Keving.lawlor@hartfordlife.com</a></div>
<div>&#160;</div>
<div>Heather Souza</div>
<div>Phone&#58; 860-624-0056</div>
<div>Email&#58; <a href=""mailto&#58;Heather.souza@hartfordlife.com"">Heather.souza@hartfordlife.com</a></div>
<div>&#160;</div>
<div>Monica Cyr</div>
<div>Phone&#58; 860-624-0072</div>
<div>Email&#58; <a href=""mailto&#58;Monica.Cyr@hartfordlife.com"">Monica.Cyr@hartfordlife.com</a></div></div>","<div class=""ExternalClass7FFF7EF54F5C4D638C21B8ACB7A5DA36""><div><div>Oliver Davis</div></div>
<div><div>Phone&#58; 860-624-0062</div></div>
<div><div>Email&#58; Oliver.<a href=""mailto&#58;Davis@hartfordlife.com"">Davis@hartfordlife.com</a></div>
<div>&#160;</div>
<div>Norman Peters</div>
<div>Phone&#58; 860-624-0066</div>
<div>Email&#58; <a href=""mailto&#58;Norman.peters@hartfordlife.com"">Norman.peters@hartfordlife.com</a></div>
<div>&#160;</div>
<div>Matthew Ouellette</div>
<div>Phone&#58; 860-624-0067</div>
<div>Email&#58; <a href=""mailto&#58;Matthew.ouellette@hartfordlife.com"">Matthew.ouellette@hartfordlife.com</a></div></div></div>","<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">Dawn Lombardi</div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">Phone&#58; 860-843-5284</div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">Email&#58; <a href=""mailto&#58;Dawn.lombari@hartfordlife.com"">Dawn.lombardi@hartfordlife.com</a></div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">&#160;</div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">Lillian Hunt</div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">Phone&#58; 860-843-6449</div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">Email&#58; <a href=""mailto&#58;Lillian.hunt@hartfordlife.com"">Lillian.hunt@hartfordlife.com</a></div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">&#160;</div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">Crystal Jennersjo</div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">Phone&#58; 860-843-6392</div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">Email&#58; <a href=""mailto&#58;crystal.jennersjo@hartfordlife.com"">crystal.jennersjo@hartfordlife.com</a></div>
<div class=""ExternalClass6DD5FCFE92ED433E84292588E8808B0C"">&#160;</div>","uit.trading@hli.com","Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794158&objAction=browse&viewType=3, http://harborware/livelink/llisapi.dll?func=ll&objId=4794158&objAction=browse&viewType=3",,"<div class=""ExternalClassA55B1481B28543EDA46DD25513CE7306""><html>
  <div class=""ExternalClass6E792108A95D4A64862EA073CAF9C914"">
    <div>BANK OF AMERICA, NA<br>ABA&#58; 026009593</br></div>
<div>Account&#58; 50451925​</div><div>FFC&#58; Harbor 12B-1 and Sub TA Fees</div></div>
</html></div>","Hartford Securities Distribution Co Inc
1 GRIFFIN RD N
WINDSOR, CT 06095-1512    ","http://harborware/livelink/llisapi.dll?func=ll&objId=4794153&objAction=browse&viewType=3, http://harborware/livelink/llisapi.dll?func=ll&objId=4794153&objAction=browse&viewType=3","Dividend- Daily, Financial- Daily, Account Position- Daily","NSCC","Omnibus","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/hartford_securities/default.aspx, Site",,,,"False",,"200 HOPMEADOW STREET
SIMSBURY, CT  06089",37,"Yes","No",,,41,423,"2016-02-24 10:30:56","2011-09-27 07:54:02",,,"$",,,,,35
